feature,importance_mean,importance_std
B01_std,0.02329629629629626,0.0007848007444598963
B02_std,0.015037037037036993,0.0021656376157101714
NDWI_std,0.008537037037036977,0.0013918486980824857
NDRE_std,0.004462962962962902,0.0013518518518518521
B08_p10,0.003962962962962902,0.0011481481481481377
B11_std,0.0035555555555555228,0.0007804187965076021
NDVI_std,0.003425925925925888,0.0011332667615403084
NDBI_std,0.003351851851851806,0.00099879900445644
B03_std,0.003314814814814759,0.001313248937147491
B02_p90,0.0027222222222221815,0.0003976094546960173
B12_p10,0.0022407407407406656,0.0005940375900868797
B09_mean,0.002222222222222159,0.0003513641844631789
B09_p10,0.002203703703703652,0.00043390275977261283
B04_mean,0.0021666666666666167,0.0011566293681205308
B09_p50,0.002111111111111075,0.0006318045225641623
B03_p90,0.0021111111111110415,0.0006478835438717075
NDWI_mean,0.0019999999999999575,0.0007162622076227445
B11_p90,0.0019259259259258531,0.0005809032274576993
NDVI_mean,0.0018888888888888289,0.000686934703370054
B12_p50,0.0018518518518518047,0.0007768954430890044
B11_p10,0.001833333333333287,0.0011666666666666553
B05_p50,0.0017407407407406873,0.0006889287125088254
NDBI_mean,0.001629629629629581,0.000661502633314516
B8A_p10,0.0016111111111110521,0.0007078338834672642
B01_p50,0.0015925925925925565,0.0009522192690505535
B09_p90,0.0015925925925925344,0.0006889287125088231
B03_p10,0.0015185185185184746,0.0008638447251622615
B04_p50,0.0015185185185184746,0.0008314794192830905
B03_p50,0.0015185185185184525,0.00041242698983924293
B11_p50,0.0014629629629629103,0.0004930935909516465
B05_p10,0.0013518518518518042,0.0007126622742553193
B01_mean,0.0012962962962962399,0.0007900270002852078
B05_mean,0.0012592592592592156,0.000681924171834139
B09_std,0.0011666666666666158,0.00070297232948524
B01_p90,0.0011481481481480983,0.0005158662324882783
NDRE_mean,0.0011111111111110628,0.0003207501495497781
B08_p90,0.0011111111111110628,0.0005237828008789013
B02_mean,0.001037037037036992,0.0005629142279100001
B04_p90,0.0009444444444443812,0.0006544665572989836
B06_std,0.0009074074074073568,0.0007193675777612831
B05_p90,0.0008888888888888502,0.0006666666666666376
B8A_mean,0.0008703703703703325,0.0004614791034954285
B01_p10,0.0008703703703703214,0.0006144688897421056
B04_std,0.0008703703703703102,0.0007945717760342595
B03_mean,0.0008148148148147683,0.0007777777777777688
B06_p10,0.0007962962962962505,0.0005370370370370339
B06_p90,0.000759259259259204,0.0006277204169140201
B12_mean,0.0007407407407406974,0.000579721327499945
B06_p50,0.0006296296296296022,0.00048432210483783153
B12_std,0.0006111111111110513,0.0008488271582493231
B02_p50,0.0005740740740740269,0.000709769181360618
B8A_p50,0.0005370370370369803,0.0006166972520498937
B07_std,0.0005370370370369803,0.0007288395797835099
B02_p10,0.0005185185185184737,0.0006615026333145166
B07_p50,0.0004999999999999672,0.0005108560823753238
B08_p50,0.000499999999999956,0.0004307297536893872
B05_std,0.0004999999999999449,0.0007945717760342587
B8A_p90,0.0004999999999999449,0.0008031573497111707
B11_mean,0.0004074074074073675,0.000771580246518508
B07_mean,0.00037037037037034314,0.0003703703703703709
B04_p10,0.00035185185185179215,0.0009495143513551344
B06_mean,0.0003148148148147789,0.0002874847165974339
B07_p10,0.0002962962962962612,0.0006635730691544132
B8A_std,0.000166666666666615,0.0006277204169140248
B12_p90,9.259259259255525e-05,0.000470312040711143
B08_std,1.8518518518484407e-05,0.0008423381789292074
B08_mean,-0.0001296296296296906,0.0003799682320126827
B07_p90,-0.000500000000000067,0.0005858997044280108
